target_id	length	eff_length	est_counts	tpm
ENST00000417917.1	634	473.659	0	0
ENST00000338660.5	2147	1986.66	3.15281	31.0457
ENST00000476993.2	4492	4331.66	1.84719	8.34226
ENST00000378785.7	3864	3703.66	0	0
ENST00000673477.1	4098	3937.66	1.98471	9.86018
ENST00000308647.8	2114	1953.66	1.01529	10.1665
ENST00000641974.1	660	499.659	0	0
ENST00000641679.1	227	79.2717	0	0
ENST00000378756.8	2481	2320.66	0	0
ENST00000378755.9	2612	2451.66	0	0
ENST00000536055.6	2330	2169.66	1	9.01644
ENST00000378733.9	1381	1220.66	0	0
ENST00000425828.1	717	556.659	1	35.1429
ENST00000624426.1	796	635.659	0	0
ENST00000291386.4	1284	1123.66	5	87.0487
ENST00000359060.5	4176	4015.66	2	9.74316
ENST00000647566.1	841	680.659	0	0
ENST00000621860.1	400	240.547	0	0
ENST00000422725.4	2124	1963.66	1	9.96232
ENST00000658591.1	1830	1669.66	0	0
ENST00000607222.1	2038	1877.66	3	31.2558
ENST00000520777.5	3321	3160.66	0.00701463	0.0434164
ENST00000355826.9	3290	3129.66	9.63166	60.2048
ENST00000518681.5	3116	2955.66	0	0
ENST00000505820.6	3305	3144.66	0.289467	1.80074
ENST00000378712.5	2890	2729.66	0	0
ENST00000504599.5	3311	3150.66	0.0715797	0.444442
ENST00000378708.5	3012	2851.66	0.000278997	0.00191394
ENST00000356026.10	1248	1087.66	1	17.986
ENST00000378675.7	1309	1148.66	0	0
ENST00000341832.10	2998	2837.66	0	0
ENST00000407249.7	2677	2516.66	0	0
ENST00000340677.9	2534	2373.66	0	0
ENST00000626918.2	2457	2296.66	2.07861	17.7053
ENST00000629289.2	2490	2329.66	5.97342e-05	0.0005016
ENST00000629312.2	2496	2335.66	9.06573e-06	7.59312e-05
ENST00000607013.1	400	240.547	0.58803	47.8218
ENST00000614300.4	2156	1995.66	0	0
ENST00000617444.5	6434	6273.66	0	0
ENST00000611123.1	5948	5787.66	9.91215	33.5036
ENST00000596308.1	1422	1261.66	0	0
ENST00000597891.1	502	341.956	1	57.2079
ENST00000234610.5	1017	856.659	0	0
ENST00000404249.8	2984	2823.66	6.92132	47.9516
ENST00000356200.7	2653	2492.66	0	0
ENST00000598846.1	5079	4918.66	0	0
ENST00000378638.6	2429	2268.66	0	0
ENST00000357760.6	2446	2285.66	0	0
ENST00000358779.9	2419	2258.66	0	0
ENST00000378633.5	2458	2297.66	0	0
ENST00000577672.1	409	249.382	0	0
ENST00000355439.7	2156	1995.66	0	0
ENST00000643905.1	6293	6132.66	1.49982	4.78429
ENST00000418950.2	497	336.979	0	0
ENST00000341426.9	3235	3074.66	0	0
ENST00000341991.7	3098	2937.66	4	26.637
ENST00000378625.5	3653	3492.66	0	0
ENST00000610897.4	3145	2984.66	0	0
ENST00000615252.4	3048	2887.66	0	0
ENST00000378609.9	3163	3002.66	64	416.966
ENST00000412228.1	906	745.659	0	0
ENST00000378604.3	769	608.659	0	0
ENST00000378602.3	1118	957.659	0	0
ENST00000310991.8	935	774.659	0	0
ENST00000493964.5	5247	5086.66	0	0
ENST00000443930.1	1954	1793.66	2	21.8131
ENST00000659674.1	977	816.659	0	0
ENST00000378585.7	1914	1753.66	12.6249	140.835
ENST00000640067.1	1632	1471.66	0	0
ENST00000638771.1	1707	1546.66	7.37509	93.2823
ENST00000640949.1	1684	1523.66	0	0
ENST00000449154.1	437	277.167	0	0
ENST00000400921.6	2294	2133.66	18.9106	173.384
ENST00000606533.1	4196	4035.66	0	0
ENST00000333854.2	1253	1092.66	1	17.9037
ENST00000444529.1	622	461.69	1	42.3717
ENST00000400919.7	1413	1252.66	1.08935	17.0123
ENST00000378546.9	727	566.659	0	0
ENST00000442483.2	326	168.573	0	0
ENST00000378536.5	6083	5922.66	33	108.999
ENST00000659232.1	4032	3871.66	0	0
ENST00000661319.1	5675	5514.66	1	3.54738
ENST00000378531.8	1645	1484.66	0	0
ENST00000607720.1	493	333.002	0	0
ENST00000602865.1	2407	2246.66	0	0
ENST00000417061.2	214	68.6409	0	0
ENST00000378529.7	1500	1339.66	0	0
ENST00000607858.1	568	407.835	0	0
ENST00000378513.7	3000	2839.66	0	0
ENST00000378518.5	522	361.885	2	108.115
ENST00000605895.6	3028	2867.66	0	0
ENST00000378512.5	1404	1243.66	4.75215	74.7508
ENST00000488353.2	2469	2308.66	1.24785	10.5737
ENST00000288774.7	2871	2710.66	0	0
ENST00000447513.6	1997	1836.66	0	0
ENST00000507596.5	1941	1780.66	4	43.9446
ENST00000449969.5	5450	5289.66	11	40.681
ENST00000378486.8	4870	4709.66	0	0
ENST00000419816.6	4837	4676.66	0	0
ENST00000424657.1	455	295.109	0	0
ENST00000442305.1	514	353.909	0	0
ENST00000378466.9	2641	2480.66	0	0
ENST00000435556.8	2524	2363.66	0	0
ENST00000651094.1	2346	2185.66	0	0
ENST00000378453.4	1324	1163.66	0	0
ENST00000644246.1	1531	1370.66	0	0
ENST00000449660.5	1629	1468.66	0	0
ENST00000416860.2	3522	3361.66	1	5.81933
ENST00000432521.2	3608	3447.66	1	5.67417
ENST00000452793.1	569	408.835	0	0
ENST00000409119.5	896	735.659	0	0
ENST00000355716.4	1707	1546.66	0	0
ENST00000456687.3	1297	1136.66	0	0
ENST00000424215.1	626	465.69	0	0
ENST00000378425.9	2665	2504.66	6.99356	54.6231
ENST00000444521.6	2827	2666.66	0	0
ENST00000419916.7	2749	2588.66	0	0
ENST00000378424.9	2765	2604.66	0	0
ENST00000537325.6	1096	935.659	0	0
ENST00000378427.6	2689	2528.66	0.00643963	0.0498193
ENST00000378412.8	2879	2718.66	0	0
ENST00000502556.5	1943	1782.66	0	0
ENST00000427302.1	373	214.2	0	0
ENST00000401095.8	8814	8653.66	0	0
ENST00000637179.1	1775	1614.66	0	0
ENST00000648684.1	593	432.751	0	0
ENST00000638002.1	1565	1404.66	0	0
ENST00000457440.1	607	446.721	0	0
ENST00000664694.1	663	502.659	0	0
ENST00000429389.1	429	269.259	0	0
ENST00000641229.1	1509	1348.66	0	0
ENST00000378404.4	1437	1276.66	0	0
ENST00000420957.1	435	275.204	0	0
ENST00000511072.5	4282	4121.66	0.000267351	0.00126893
ENST00000378391.6	5447	5286.66	0	0
ENST00000270722.10	8698	8537.66	0	0
ENST00000514189.5	4236	4075.66	0.999733	4.79858
ENST00000635819.1	61	25.3023	0	0
ENST00000440516.1	469	309.067	0	0
ENST00000624175.1	2677	2516.66	0	0
ENST00000607061.1	3461	3300.66	0	0
ENST00000669140.1	728	567.659	0	0
ENST00000665088.1	2784	2623.66	0	0
ENST00000378378.9	2822	2661.66	0	0
ENST00000378373.5	2211	2050.66	1.89105	18.04
ENST00000378371.6	2219	2058.66	0.108949	1.0353
ENST00000606489.1	382	222.891	0	0
ENST00000356575.9	7443	7282.66	0	0
ENST00000294599.8	4501	4340.66	0	0
ENST00000385042.1	96	14.4103	0	0
ENST00000435049.1	622	461.69	0	0
ENST00000378344.7	2401	2240.66	10	87.3074
ENST00000344579.5	2189	2028.66	0	0
ENST00000378322.7	1998	1837.66	0	0
ENST00000270708.12	1692	1531.66	3	38.3165
ENST00000378295.9	5192	5031.66	1.60756	6.25003
ENST00000604074.5	4806	4645.66	0	0
ENST00000354437.8	2140	1979.66	0	0
ENST00000346387.8	4854	4693.66	0	0
ENST00000357733.7	4899	4738.66	0	0
ENST00000443034.1	754	593.659	0	0
ENST00000603362.5	1668	1507.66	0	0
ENST00000604479.5	1623	1462.66	0	0
ENST00000378280.5	2062	1901.66	0.392441	4.03709
ENST00000378285.5	2117	1956.66	0	0
ENST00000378288.8	5120	4959.66	0	0
ENST00000378290.4	1831	1670.66	0	0
ENST00000416554.1	351	192.666	0	0
ENST00000648526.1	1193	1032.66	0.557179	10.5552
ENST00000611447.1	161	31.6475	0	0
ENST00000423764.6	3525	3364.66	1.44282	8.38877
ENST00000637775.1	1455	1294.66	0	0
ENST00000294600.7	2125	1964.66	0	0
ENST00000561886.2	509	348.933	0	0
ENST00000444870.7	547	386.835	0	0
ENST00000378251.3	4303	4142.66	7	33.0556
ENST00000581512.2	297	141.264	0	0
ENST00000607459.1	531	370.86	0	0
ENST00000378230.8	6431	6270.66	3	9.35911
ENST00000378223.3	1121	960.659	0	0
ENST00000625756.2	649	488.659	0	0
ENST00000338895.7	3105	2944.66	0	0
ENST00000378209.7	3028	2867.66	0	0
ENST00000341385.4	572	411.835	0	0
ENST00000361605.4	1645	1484.66	2	26.353
ENST00000442673.1	3059	2898.66	0	0
ENST00000439488.1	1940	1779.66	0	0
ENST00000412674.1	3242	3081.66	0	0
ENST00000635247.1	1646	1485.66	0	0
ENST00000664502.1	1406	1245.66	1	15.7046
ENST00000642026.2	758	597.659	0	0
ENST00000641562.1	540	379.835	0	0
ENST00000641078.1	1258	1097.66	0	0
ENST00000642139.1	4817	4656.66	0	0
ENST00000449232.1	372	213.215	0	0
ENST00000423197.2	2077	1916.66	0	0
ENST00000641472.1	3402	3241.66	0	0
ENST00000438791.2	356	197.534	0	0
ENST00000667354.1	713	552.659	0	0
ENST00000659083.1	1213	1052.66	0	0
ENST00000661628.1	1531	1370.66	0	0
ENST00000420522.1	682	521.659	0	0
ENST00000378191.5	12102	11941.7	1	1.63818
ENST00000378190.7	2383	2222.66	0	0
ENST00000658045.1	3030	2869.66	0	0
ENST00000641254.1	464	304.109	0	0
ENST00000641403.1	1580	1419.66	0	0
ENST00000443270.1	449	289.129	0	0
ENST00000641871.1	1225	1064.66	0	0
ENST00000641583.1	609	448.721	0	0
ENST00000641860.1	2210	2049.66	0	0
ENST00000649109.1	830	669.659	0	0
ENST00000564261.1	1697	1536.66	0	0
ENST00000637697.1	135	18.7137	0	0
ENST00000637702.1	847	686.659	0	0
ENST00000579887.1	73	30.3036	0	0
ENST00000413887.1	363	204.328	0	0
ENST00000582517.1	70	28.8491	0	0
ENST00000378156.9	4955	4794.66	0	0
ENST00000622020.4	3004	2843.66	0	0
ENST00000378097.6	4302	4141.66	18.8041	88.8189
ENST00000666163.1	3878	3717.66	4.70388	24.7522
ENST00000671676.1	4084	3923.66	0	0
ENST00000653262.1	3835	3674.66	0	0
ENST00000341524.6	3853	3692.66	0	0
ENST00000462676.3	997	836.659	0	0
ENST00000428161.6	2134	1973.66	0	0
ENST00000352527.6	4001	3840.66	0	0
ENST00000663169.1	719	558.659	0	0
ENST00000656198.1	736	575.659	0	0
ENST00000602612.5	2396	2235.66	0	0
ENST00000666299.1	1552	1391.66	0	0
ENST00000652845.1	932	771.659	0	0
ENST00000669250.1	3883	3722.66	0	0
ENST00000164247.5	4273	4112.66	0	0
ENST00000668559.1	2209	2048.66	0	0
ENST00000378092.6	1498	1337.66	0.491992	7.19514
ENST00000472700.7	720	559.659	0	0
ENST00000378083.7	4142	3981.66	0	0
ENST00000458166.6	1336	1175.66	0	0
ENST00000662363.1	2958	2797.66	0	0
ENST00000262450.8	9850	9689.66	23.2066	46.8521
ENST00000484532.6	663	502.659	4.62345	179.937
ENST00000234875.9	2061	1900.66	11.4986	118.35
ENST00000497965.5	786	625.659	0	0
ENST00000455744.1	378	218.966	0	0
ENST00000377939.5	3981	3820.66	4	20.4809
ENST00000343813.10	4795	4634.66	7	29.5466
ENST00000650463.1	2040	1879.66	0	0
ENST00000441724.1	1138	977.659	0	0
ENST00000377898.4	710	549.659	0	0
ENST00000377893.3	4198	4037.66	0	0
ENST00000608083.5	1403	1242.66	7	110.198
ENST00000377842.7	1813	1652.66	0	0
ENST00000377845.7	1432	1271.66	0	0
ENST00000377855.6	1614	1453.66	0	0
ENST00000545482.5	1804	1643.66	0	0
ENST00000361521.8	2429	2268.66	0	0
ENST00000607670.1	837	676.659	0	0
ENST00000377837.5	1222	1061.66	0	0
ENST00000377836.8	507	346.933	0	0
ENST00000377834.8	4262	4101.66	0	0
ENST00000487437.5	968	807.659	0	0
ENST00000489730.1	730	569.659	0	0
ENST00000645284.1	3543	3382.66	0	0
ENST00000636330.1	4731	4570.66	0	0
ENST00000585139.1	63	26.1556	0	0
ENST00000419034.1	351	192.666	0	0
ENST00000416731.5	1338	1177.66	0	0
ENST00000461727.6	1339	1178.66	0	0
ENST00000377782.7	1632	1471.66	0	0
ENST00000356876.7	1625	1464.66	0	0
ENST00000351959.9	1441	1280.66	3	45.8263
ENST00000348333.7	1119	958.659	0	0
ENST00000351748.7	705	544.659	0	0
ENST00000535355.5	4725	4564.66	0	0
ENST00000400913.5	4698	4537.66	0	0
ENST00000340850.9	4715	4554.66	0	0
ENST00000537245.5	4794	4633.66	4.22394	17.8328
ENST00000377748.5	5221	5060.66	0	0
ENST00000673471.1	4375	4214.66	0	0
ENST00000377725.5	3475	3314.66	0	0
ENST00000377728.7	3613	3452.66	0	0
ENST00000377732.5	3753	3592.66	7.75595e-05	0.000422324
ENST00000400915.7	3697	3536.66	7.77598	43.0119
ENST00000377740.4	3550	3389.66	0	0
ENST00000377705.6	6627	6466.66	2	6.0503
ENST00000517213.1	111	11.9051	0	0
ENST00000456162.2	401	241.515	0	0
ENST00000333172.11	2764	2603.66	0	0
ENST00000351136.7	1871	1710.66	0	0
ENST00000377674.9	2347	2186.66	2	17.8927
ENST00000377658.8	4487	4326.66	2.5221	11.4034
ENST00000377663.3	6445	6284.66	0	0
ENST00000467612.5	1056	895.659	0.477902	10.4381
ENST00000610898.1	1945	1784.66	0	0
ENST00000463043.1	667	506.659	0	0
ENST00000377648.5	3632	3471.66	3	16.9048
ENST00000054650.8	1366	1205.66	4.8714	79.0416
ENST00000307896.10	1046	885.659	0	0
ENST00000377627.7	2053	1892.66	1.1286	11.6653
ENST00000377577.10	3201	3040.66	0	0
ENST00000294401.11	2210	2049.66	0	0
ENST00000432429.5	1686	1525.66	0	0
ENST00000421469.3	681	520.659	0	0
ENST00000641757.1	987	826.659	0	0
ENST00000442889.1	415	255.348	0	0
ENST00000303635.12	8314	8153.66	15	35.9886
ENST00000473578.5	567	406.835	0	0
ENST00000557126.5	486	326.002	0	0
ENST00000467404.6	546	385.835	0	0
ENST00000433407.1	286	131.016	0	0
ENST00000456701.1	349	190.745	0	0
ENST00000384328.1	165	33.9895	0	0
ENST00000427317.1	365	206.286	0	0
ENST00000618051.1	433	273.223	0	0
ENST00000411708.1	391	231.675	0	0
ENST00000440032.1	361	202.411	0	0
ENST00000602640.1	1721	1560.66	0	0
ENST00000602973.1	570	409.835	0	0
ENST00000602916.1	267	113.892	0	0
ENST00000476864.1	714	553.659	2.80362e-08	9.90613e-07
ENST00000054666.11	2178	2017.66	8.24207	79.9126
ENST00000470357.1	954	793.659	0.75793	18.682
ENST00000602406.1	393	233.66	0	0
ENST00000377541.5	1524	1363.66	0	0
ENST00000613533.4	6318	6157.66	0.055994	0.17789
ENST00000614998.4	6261	6100.66	6.04512	19.3845
ENST00000377532.7	6279	6118.66	5.89889	18.86
ENST00000361923.2	6203	6042.66	0	0
ENST00000451646.1	830	669.659	0	0
ENST00000377516.6	1601	1440.66	0	0
ENST00000361696.9	559	398.835	0	0
ENST00000054668.5	420	260.313	0	0
ENST00000615230.4	5970	5809.66	0	0
ENST00000377507.7	1923	1762.66	0	0
ENST00000603760.1	355	196.574	0	0
ENST00000493678.5	1088	927.659	0	0
ENST00000377493.9	795	634.659	0	0
ENST00000338639.10	1127	966.659	0	0
ENST00000377491.5	977	816.659	12	287.453
ENST00000377488.5	783	622.659	3.94143e-06	0.000123831
ENST00000363474.1	103	11.8112	0	0
ENST00000641354.1	2101	1940.66	0	0
ENST00000641100.1	1043	882.659	0	0
ENST00000642135.1	2236	2075.66	0	0
ENST00000474874.5	479	319.067	0	0
ENST00000377482.10	3097	2936.66	2	13.323
ENST00000467067.1	2097	1936.66	0	0
ENST00000469499.5	995	834.659	0	0
ENST00000445300.1	2044	1883.66	0	0
ENST00000399343.2	800	639.659	0	0
ENST00000453364.1	1075	914.659	0	0
ENST00000670361.1	683	522.659	0	0
ENST00000364105.1	164	33.395	0	0
ENST00000452982.1	497	336.979	0	0
ENST00000424689.1	477	317.067	0	0
ENST00000516168.1	107	11.4243	0	0
ENST00000471889.5	2784	2623.66	0	0
ENST00000289877.8	2401	2240.66	2	17.4615
ENST00000516445.1	113	12.273	0	0
ENST00000337907.7	8026	7865.66	2.08676	5.18997
ENST00000400908.7	8009	7848.66	10.1915	25.4022
ENST00000377464.5	6733	6572.66	14.7217	43.8171
ENST00000400907.6	2973	2812.66	0	0
ENST00000476556.5	4598	4437.66	0	0
ENST00000653698.1	1052	891.659	0	0
ENST00000659924.1	2990	2829.66	0	0
ENST00000408156.1	125	14.8968	0	0
ENST00000605785.1	369	210.272	0	0
ENST00000437586.1	658	497.659	0	0
ENST00000428803.2	703	542.659	0	0
ENST00000410579.2	103	11.8112	0	0
ENST00000445254.1	415	255.348	0	0
ENST00000433876.2	353	194.614	0	0
ENST00000436229.2	369	210.272	0	0
ENST00000234590.10	1781	1620.66	44	531.114
ENST00000647408.1	1782	1621.66	0	0
ENST00000618792.1	89	19.9156	0	0
ENST00000442636.1	456	296.109	0	0
ENST00000364855.1	107	11.4243	0	0
ENST00000425872.1	743	582.659	0	0
ENST00000424862.2	352	193.64	0	0
ENST00000431968.2	163	32.8052	0	0
ENST00000377443.7	1334	1173.66	0	0
ENST00000480186.7	1493	1332.66	0	0
ENST00000377436.6	942	781.659	0	0
ENST00000377442.3	747	586.659	0	0
ENST00000583026.2	299	143.175	0	0
ENST00000400906.1	1539	1378.66	0	0
ENST00000377424.9	4085	3924.66	0	0
ENST00000377414.7	2344	2183.66	0	0
ENST00000516595.1	184	46.1783	0	0
ENST00000377411.5	5197	5036.66	0	0
ENST00000635687.1	4211	4050.66	0	0
ENST00000385130.1	110	11.8417	0	0
ENST00000635405.2	4457	4296.66	0	0
ENST00000635271.1	888	727.659	0	0
ENST00000664915.1	1114	953.659	0	0
ENST00000657715.1	1265	1104.66	0	0
ENST00000377403.6	9146	8985.66	0	0
ENST00000602477.1	5590	5429.66	0	0
ENST00000328089.11	3106	2945.66	0	0
ENST00000357898.3	1439	1278.66	0	0
ENST00000377399.2	1007	846.659	1	23.1057
ENST00000641006.1	1765	1604.66	1	12.1911
ENST00000641325.1	2442	2281.66	0	0
ENST00000517147.1	110	11.8417	0	0
ENST00000441033.1	708	547.659	0	0
ENST00000302692.7	3865	3704.66	2.54966	13.4636
ENST00000435277.1	559	398.835	0	0
ENST00000340381.11	3815	3654.66	0	0
ENST00000340305.9	3851	3690.66	0	0
ENST00000377346.9	5412	5251.66	0	0
ENST00000536656.5	5483	5322.66	0	0
ENST00000628140.2	5483	5322.66	0	0
ENST00000377320.3	1823	1662.66	0	0
ENST00000426570.3	421	261.313	0	0
ENST00000415330.2	939	778.659	0	0
ENST00000543390.2	3503	3342.66	1.49887	8.77203
